image_id,category_id
3e9c301a-c18d-4675-b231-b216fe56f6e6.jpg,11
70bf4d36-9bf2-4f5c-96e6-dbe280b217f1.jpg,11
88ff6fec-374b-4a58-a6fd-41c7c0ef4231.jpg,11
a9b6535b-7f81-40c9-b987-d1b7b6a47f3c.jpg,11
0189afdb-e3ba-4bb9-9218-f84b5439eb1f.jpg,7
04709160-28c6-4aff-ad3c-f6ad56e4ed8d.jpg,11
08ba2384-394f-448c-a735-c6b2d3f43be8.jpg,11
0e9279cf-d6d6-4081-9c72-9cce9bf13355.jpg,11
119fa508-dd89-4872-a53c-640303ec6b33.jpg,11
14a15429-a781-43ea-a638-299427cc4f7f.jpg,11
15c1e14d-cc4f-4954-b7a6-a3efa6db0eea.jpg,11
163b20f1-50a6-4f04-a491-cd3424e98c42.jpg,11
1a132244-1625-4a4b-8036-89daed8dd124.jpg,11
1ebd14a2-56ac-41e3-9662-48a8c0a8e58a.jpg,11
1f38426e-cc4e-4392-9646-48abb947005d.jpg,7
2711e7fd-1bf2-4040-abcc-0bb5f418ec8b.jpg,11
2ae624df-1ffc-4427-ac18-ae951862ab23.jpg,7
2f1c1686-c9d1-42c8-9a49-d748097d1204.jpg,11
3b26f8df-a2a5-42b9-8637-637a6a2c4873.jpg,11
3bacabb1-f26b-4cfc-b231-7b20b9507449.jpg,11
41c5d271-dfd0-4240-92fb-ac5f60d7ec92.jpg,3
43c9e9ae-ec13-437c-a0d7-0af843499173.jpg,11
44055c33-f35a-4c48-98bd-0debd85f042a.jpg,11
4a479921-319d-4bd3-94c9-c8be15de8b1d.jpg,3
4a822ca4-2802-47e7-86e8-0d9b74ea1680.jpg,7
516f12d3-03dd-4eb7-bcc2-3dd63d386310.jpg,3
5bc2d62f-b97b-4103-b867-151643d83ba4.jpg,11
5c082601-e5a6-4a67-bf0c-58301be731ea.jpg,11
680d9309-bd52-4c6c-86e2-600591d96b4c.jpg,11
69fd152a-20da-47ca-bce0-24a6d27a699e.jpg,11
6dcd1364-8f36-4756-8434-511212c2371b.jpg,11
733c4896-1789-4791-b087-b373de883d9d.jpg,11
74baa744-6ad2-44f4-8881-b978716f1a41.jpg,11
759a0cf5-f4d2-43a9-84c1-8591fab03577.jpg,11
79f1dee3-2919-4c71-a69a-59e1847ec467.jpg,11
7b2f6605-2b05-4b19-a268-787343b3005d.jpg,11
7c27bc3f-845e-4d2d-8928-bbeea6a0415d.jpg,11
8241fa10-fb3a-44d1-9a50-7caa1cb8f26f.jpg,11
843ed5cf-8fb1-43c5-ba1e-968e394e9065.jpg,3
85b7c0b9-9d7c-474e-b001-464dd75b4c46.jpg,11
85cea179-a1ab-44fd-93ac-2f5cc9000f52.jpg,2
88effe3a-cf36-4a2c-bd96-6ddd14caf3d2.jpg,7
904be74d-58bc-4323-a857-1bb59b8b6383.jpg,11
94c11f61-8209-4026-bdf8-b042b783622c.jpg,7
9729af8e-dfb5-4c09-b9c1-1c96facdd68d.jpg,12
9797e8db-61e6-41fc-8d6c-9d606f57a7cf.jpg,11
97da94ab-c8a8-43ca-a34b-2ceef1a1db32.jpg,11
9967fbaf-f3b6-4f30-af10-9fe9452b2616.jpg,11
9c39ddf7-ad8e-48d6-875f-534df29d2ef2.jpg,11
a64c9e49-72b0-438c-b412-403049fe2553.jpg,11
a7750adb-2534-47b5-b68a-5f938aab4ee1.jpg,11
a778551a-5d4d-4ce5-8c12-01ae6027efef.jpg,11
a957a60b-e4bd-4269-a909-5f10ed9a7080.jpg,12
c6ebe74d-7230-43e4-a906-7b72c58af683.jpg,11
c8ee8950-bbf4-4bfb-a84c-f1415ec01f9c.jpg,11
c9e059e6-a746-4e8b-a9ec-a5c58b5d2613.jpg,11
cc2b5d1d-abc1-4fea-9059-0eb8e60a3dfe.jpg,7
d158d0bf-3413-4892-9e25-717cf1c49330.jpg,11
e3244344-32e3-451e-b564-87c53bc5124f.jpg,7
e39383f3-55e7-4b29-beeb-7d3660c789b7.jpg,7
e4e4204d-ec0b-4f89-8210-8bdb3240c9dc.jpg,11
e5ad4c0b-b1b3-47f2-b1ce-e3f3b812142d.jpg,11
ece48e52-8aad-4e89-8074-7168eee241a2.jpg,7
fb72e737-b913-44f1-9ff2-de2fe9125cb9.jpg,7
fd099ce2-32b8-456d-a3ef-c4fd4fee6e3d.jpg,11
fe641e40-0ab8-4698-8274-e56b0efdfcfa.jpg,11
